Simulación,Start Date,End Date,Rendimiento Anual Promedio,Desviación Estándar Anual,Downside Risk,CAGR,Rendimiento Efectivo,Sortino Ratio
179,2019-03-01,2024-03-01,0.14391630692317708,0.212477149470925,0.17343526399188786,0.12885730431049258,0.8322568420487997,0.5876331293729518
180,2011-02-12,2016-02-12,0.07985704080253686,0.1576161157085025,0.120265143797131,0.06972837248822517,0.39964881145169695,0.31477982403942345
181,2012-07-06,2017-07-06,0.12309413416339612,0.12327896460604963,0.09048845509666496,0.12239686977646169,0.778833307096285,0.8961821049631878
182,2015-04-05,2020-04-05,0.05270316878596907,0.18294167521270263,0.16433624873782912,0.03649343771665947,0.1961096991159581,0.06512968908669793
183,2014-11-25,2019-11-25,0.092548736777305,0.1354456516630632,0.10736527761734109,0.08692084382886645,0.5160108214025658,0.47081084219299435
184,2019-05-08,2024-05-08,0.14061835284555346,0.21284094117020233,0.1727803092813505,0.12505584523762603,0.8016371570065857,0.5707731005676472
185,2015-04-01,2020-04-01,0.053192809384111576,0.18256065992196815,0.16437831725321783,0.03707257335503611,0.1994523788921696,0.06809176277714003
186,2012-05-26,2017-05-26,0.127246938979084,0.1258868737083471,0.09240625983881137,0.12669933489494745,0.8131069697856701,0.9225234213329734
187,2013-08-25,2018-08-25,0.11797703788838627,0.12360990889139827,0.09650476194939069,0.11661446650848273,0.7351065866156334,0.7872879674914942
188,2010-06-05,2015-06-05,0.14982559714575963,0.1529530278824194,0.11673626344759612,0.14806175114071274,0.9922797761883457,0.9236683954182192
189,2012-11-03,2017-11-03,0.12784210691573733,0.12077748371797017,0.09106370513724568,0.12807797405422972,0.8259458885872191,0.9426599410419476
190,2014-04-16,2019-04-16,0.09799899348398142,0.13241174591105942,0.10487492317998469,0.09330641947973661,0.5609968088712907,0.5339598045557261
191,2015-12-31,2020-12-31,0.14043319299373852,0.19231698340172315,0.1717416227790994,0.12952303250769037,0.837661661318269,0.5731469832467289
